"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2000","42,463","",
"01","Alabama","01001","Autauga","2001","42,183","",
"01","Alabama","01001","Autauga","2002","42,841","",
"01","Alabama","01001","Autauga","2003","44,241","",
"01","Alabama","01001","Autauga","2004","45,379","",
"01","Alabama","01001","Autauga","2005","45,019","",
"01","Alabama","01001","Autauga","2006","46,491","",
"01","Alabama","01001","Autauga","2007","50,375","",
"01","Alabama","01001","Autauga","2008","51,622","",
"01","Alabama","01001","Autauga","2009","53,081","",
"01","Alabama","01001","Autauga","2010","53,049","",
"01","Alabama","01001","Autauga","2011","48,863","",
"01","Alabama","01001","Autauga","2012","51,441","",
"01","Alabama","01001","Autauga","2013","51,868","",
"01","Alabama","01001","Autauga","2014","54,366","",
"01","Alabama","01001","Autauga","2015","56,580","",
"01","Alabama","01001","Autauga","2016","54,487","",
"01","Alabama","01003","Baldwin","2000","41,283","",
"01","Alabama","01003","Baldwin","2001","40,406","",
"01","Alabama","01003","Baldwin","2002","40,818","",
"01","Alabama","01003","Baldwin","2003","41,961","",
"01","Alabama","01003","Baldwin","2004","42,227","",
"01","Alabama","01003","Baldwin","2005","42,804","",
"01","Alabama","01003","Baldwin","2006","45,493","",
"01","Alabama","01003","Baldwin","2007","49,163","",
"01","Alabama","01003","Baldwin","2008","51,957","",
"01","Alabama","01003","Baldwin","2009","48,637","",
"01","Alabama","01003","Baldwin","2010","47,618","",
"01","Alabama","01003","Baldwin","2011","50,144","",
"01","Alabama","01003","Baldwin","2012","48,867","",
"01","Alabama","01003","Baldwin","2013","47,539","",
"01","Alabama","01003","Baldwin","2014","49,626","",
"01","Alabama","01003","Baldwin","2015","52,387","",
"01","Alabama","01003","Baldwin","2016","56,460","",
"01","Alabama","01005","Barbour","2000","26,612","",
"01","Alabama","01005","Barbour","2001","25,480","",
"01","Alabama","01005","Barbour","2002","25,279","",
"01","Alabama","01005","Barbour","2003","26,062","",
"01","Alabama","01005","Barbour","2004","26,495","",
"01","Alabama","01005","Barbour","2005","29,534","",
"01","Alabama","01005","Barbour","2006","28,692","",
"01","Alabama","01005","Barbour","2007","30,370","",
"01","Alabama","01005","Barbour","2008","30,896","",
"01","Alabama","01005","Barbour","2009","28,802","",
"01","Alabama","01005","Barbour","2010","33,074","",
"01","Alabama","01005","Barbour","2011","30,117","",
"01","Alabama","01005","Barbour","2012","30,287","",
"01","Alabama","01005","Barbour","2013","30,981","",
"01","Alabama","01005","Barbour","2014","34,971","",
"01","Alabama","01005","Barbour","2015","31,433","",
"01","Alabama","01005","Barbour","2016","32,884","",
"01","Alabama","01007","Bibb","2000","31,776","",
"01","Alabama","01007","Bibb","2001","31,074","",
"01","Alabama","01007","Bibb","2002","31,387","",
"01","Alabama","01007","Bibb","2003","32,924","",
"01","Alabama","01007","Bibb","2004","34,055","",
"01","Alabama","01007","Bibb","2005","34,212","",
"01","Alabama","01007","Bibb","2006","36,794","",
"01","Alabama","01007","Bibb","2007","38,907","",
"01","Alabama","01007","Bibb","2008","41,076","",
"01","Alabama","01007","Bibb","2009","38,294","",
"01","Alabama","01007","Bibb","2010","35,472","",
"01","Alabama","01007","Bibb","2011","37,347","",
"01","Alabama","01007","Bibb","2012","37,392","",
"01","Alabama","01007","Bibb","2013","39,781","",
"01","Alabama","01007","Bibb","2014","39,546","",
"01","Alabama","01007","Bibb","2015","40,767","",
"01","Alabama","01007","Bibb","2016","43,079","",
"01","Alabama","01009","Blount","2000","36,863","",
"01","Alabama","01009","Blount","2001","36,175","",
"01","Alabama","01009","Blount","2002","36,386","",
"01","Alabama","01009","Blount","2003","37,758","",
"01","Alabama","01009","Blount","2004","38,643","",
"01","Alabama","01009","Blount","2005","40,588","",
"01","Alabama","01009","Blount","2006","41,494","",
"01","Alabama","01009","Blount","2007","43,266","",
"01","Alabama","01009","Blount","2008","46,086","",
"01","Alabama","01009","Blount","2009","41,520","",
"01","Alabama","01009","Blount","2010","42,906","",
"01","Alabama","01009","Blount","2011","41,940","",
"01","Alabama","01009","Blount","2012","44,225","",
"01","Alabama","01009","Blount","2013","44,392","",
"01","Alabama","01009","Blount","2014","45,567","",
"01","Alabama","01009","Blount","2015","50,487","",
"01","Alabama","01009","Blount","2016","47,213","",
"01","Alabama","01011","Bullock","2000","21,400","",
"01","Alabama","01011","Bullock","2001","20,367","",
"01","Alabama","01011","Bullock","2002","20,137","",
"01","Alabama","01011","Bullock","2003","20,903","",
"01","Alabama","01011","Bullock","2004","20,485","",
"01","Alabama","01011","Bullock","2005","21,728","",
"01","Alabama","01011","Bullock","2006","23,095","",
"01","Alabama","01011","Bullock","2007","24,969","",
