"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment","Status","PWS ID","CWS Name","Population Served","Contaminant"
"01","Alabama","01021","Chilton","2013-2015","20.0","","Detected" (2),"AL0000213","Clanton Water Department","13500","PFOA"
"01","Alabama","01033","Colbert","2013-2015","50.0","","Detected" (2),"AL0000314","Colbert County Rural Water System","10731","PFOS"
"01","Alabama","01033","Colbert","2013-2015","60.0","","Detected" (2),"AL0000314","Colbert County Rural Water System","10731","PFOA"
"01","Alabama","01043","Cullman","2013-2015","180.0","","Detected" (2),"AL0000413","VAW Water System, Inc.","29985","PFOS"
"01","Alabama","01043","Cullman","2013-2015","90.0","","Detected" (2),"AL0000413","VAW Water System, Inc.","29985","PFOA"
"01","Alabama","01049","DeKalb","2013-2015","70.0","","Detected" (2),"AL0001422","Northeast Alabama Water System","42609","PFOS"
"01","Alabama","01049","DeKalb","2013-2015","40.0","","Detected" (2),"AL0001422","Northeast Alabama Water System","42609","PFOA"
"01","Alabama","01055","Etowah","2013-2015","50.0","","Detected" (2),"AL0000577","Gadsden Waterworks & Sewer Board","44637","PFOS"
"01","Alabama","01055","Etowah","2013-2015","40.0","","Detected" (2),"AL0000577","Gadsden Waterworks & Sewer Board","44637","PFOA"
"01","Alabama","01055","Etowah","2013-2015","60.0","","Detected" (2),"AL0000588","Rainbow City Utilities Board","11748","PFOS"
"01","Alabama","01055","Etowah","2013-2015","40.0","","Detected" (2),"AL0000588","Rainbow City Utilities Board","11748","PFOA"
"01","Alabama","01055","Etowah","2013-2015","50.0","","Detected" (2),"AL0000591","Southside Waterworks","10998","PFOS"
"01","Alabama","01055","Etowah","2013-2015","40.0","","Detected" (2),"AL0000591","Southside Waterworks","10998","PFOA"
"01","Alabama","01077","Lauderdale","2013-2015","60.0","","Detected" (2),"AL0000783","Florence Water-Wastewater Department","66900","PFOS"
"01","Alabama","01077","Lauderdale","2013-2015","20.0","","Detected" (2),"AL0000783","Florence Water-Wastewater Department","66900","PFOA"
"01","Alabama","01079","Lawrence","2013-2015","90.0","","Detected" (2),"AL0000801","West Lawrence Water Co-op","14562","PFOS"
"01","Alabama","01079","Lawrence","2013-2015","50.0","","Detected" (2),"AL0000801","West Lawrence Water Co-op","14562","PFOA"
"01","Alabama","01095","Marshall","2013-2015","20.0","","Detected" (2),"AL0000933","Albertville Utilities Board","29991","PFOA"
"01","Alabama","01095","Marshall","2013-2015","20.0","","Detected" (2),"AL0000936","Boaz Water & Sewer Board","29196","PFOA"
"01","Alabama","01103","Morgan","2013-2015","130.0","","Detected" (2),"AL0001092","West Morgan - East Lawrence Water Author","26130","PFOS"
"01","Alabama","01103","Morgan","2013-2015","100.0","","Detected" (2),"AL0001092","West Morgan - East Lawrence Water Author","26130","PFOA"
"04","Arizona","04007","Gila","2013-2015","48.0","","Detected" (2),"AZ0404032","PAYSON TOWN OF","17682","PFOA"
"04","Arizona","04013","Maricopa","2013-2015","220.0","","Detected" (2),"AZ0407046","LIBERTY WATER LPSCO","45298","PFOS"
"04","Arizona","04013","Maricopa","2013-2015","50.0","","Detected" (2),"AZ0407046","LIBERTY WATER LPSCO","45298","PFOA"
"04","Arizona","04013","Maricopa","2013-2015","150.0","","Detected" (2),"AZ0407100","TEMPE CITY OF","165000","PFOS"
"04","Arizona","04013","Maricopa","2013-2015","50.0","","Detected" (2),"AZ0407100","TEMPE CITY OF","165000","PFOA"
"04","Arizona","04015","Mohave","2013-2015","300.0","","Detected" (2),"AZ0408001","OATMAN WATER COMPANY","129","PFOS"
"04","Arizona","04015","Mohave","2013-2015","32.0","","Detected" (2),"AZ0408001","OATMAN WATER COMPANY","129","PFOA"
"04","Arizona","04019","Pima","2013-2015","53.0","","Detected" (2),"AZ0410076","METROPOLITAN DWID","44998","PFOS"
"04","Arizona","04019","Pima","2013-2015","56.0","","Detected" (2),"AZ0410112","TUCSON CITY OF","675686","PFOS"
"06","California","06007","Butte","2013-2015","76.0","","Detected" (2),"CA0410002","CAL-WATER SERVICE CO.-CHICO","100435","PFOS"
"06","California","06037","Los Angeles","2013-2015","54.0","","Detected" (2),"CA1910036","CALIFORNIA WATER SERVICE CO. - ELA","150446","PFOS"
"06","California","06037","Los Angeles","2013-2015","53.0","","Detected" (2),"CA1910034","DOWNEY - CITY, WATER DEPT.","111930","PFOS"
"06","California","06037","Los Angeles","2013-2015","43.0","","Detected" (2),"CA1910098","GSWC - NORWALK","44466","PFOS"
"06","California","06037","Los Angeles","2013-2015","51.0","","Detected" (2),"CA1910211","LIBERTY UTILITIES - BELLFLOWER-NORWALK","72884","PFOS"
"06","California","06037","Los Angeles","2013-2015","65.0","","Detected" (2),"CA1910091","MONTEBELLO LAND & WATER CO.","32219","PFOS"
"06","California","06037","Los Angeles","2013-2015","45.0","","Detected" (2),"CA1910101","ORCHARD DALE WATER DISTRICT","22492","PFOS"
"06","California","06037","Los Angeles","2013-2015","21.0","","Detected" (2),"CA1910101","ORCHARD DALE WATER DISTRICT","22492","PFOA"
"06","California","06037","Los Angeles","2013-2015","62.0","","Detected" (2),"CA1910042","PICO RIVERA - CITY, WATER DEPT.","39000","PFOS"
"06","California","06037","Los Angeles","2013-2015","29.0","","Detected" (2),"CA1910042","PICO RIVERA - CITY, WATER DEPT.","39000","PFOA"
"06","California","06037","Los Angeles","2013-2015","44.0","","Detected" (2),"CA1910125","PICO WD","24100","PFOS"
"06","California","06037","Los Angeles","2013-2015","27.0","","Detected" (2),"CA1910017","SANTA CLARITA VALLEY W.A.-SANTA CLARITA","120900","PFOA"
"06","California","06037","Los Angeles","2013-2015","26.0","","Detected" (2),"CA1910240","SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS","117251","PFOA"
"06","California","06059","Orange","2013-2015","70.0","","Detected" (2),"CA3010001","CITY OF ANAHEIM","450000","PFOS"
"06","California","06059","Orange","2013-2015","28.0","","Detected" (2),"CA3010001","CITY OF ANAHEIM","450000","PFOA"
"06","California","06059","Orange","2013-2015","41.2","","Detected" (2),"CA3010010","CITY OF FULLERTON","138251","PFOS"
"06","California","06059","Orange","2013-2015","49.6","","Detected" (2),"CA3010062","CITY OF GARDEN GROVE","170883","PFOS"
"06","California","06059","Orange","2013-2015","65.9","","Detected" (2),"CA3010027","CITY OF ORANGE","138640","PFOS"
"06","California","06059","Orange","2013-2015","29.1","","Detected" (2),"CA3010027","CITY OF ORANGE","138640","PFOA"
"06","California","06059","Orange","2013-2015","21.0","","Detected" (2),"CA3010030","CITY OF SAN JUAN CAPISTRANO","40000","PFOA"
"06","California","06059","Orange","2013-2015","47.4","","Detected" (2),"CA3010037","YORBA LINDA WATER DISTRICT","77513","PFOS"
"06","California","06059","Orange","2013-2015","25.9","","Detected" (2),"CA3010037","YORBA LINDA WATER DISTRICT","77513","PFOA"
"06","California","06065","Riverside","2013-2015","46.0","","Detected" (2),"CA3310037","CORONA, CITY OF","155896","PFOS"
"06","California","06065","Riverside","2013-2015","42.0","","Detected" (2),"CA3310037","CORONA, CITY OF","155896","PFOA"
"06","California","06065","Riverside","2013-2015","82.0","","Detected" (2),"CA3310009","EASTERN MUNICIPAL WD","512711","PFOS"
"06","California","06065","Riverside","2013-2015","53.0","","Detected" (2),"CA3310009","EASTERN MUNICIPAL WD","512711","PFOA"
"06","California","06065","Riverside","2013-2015","41.0","","Detected" (2),"CA3310012","ELSINORE VALLEY MWD","142264","PFOA"
"06","California","06065","Riverside","2013-2015","26.0","","Detected" (2),"CA3310025","NORCO, CITY OF","27160","PFOA"
"06","California","06067","Sacramento","2013-2015","156.0","","Detected" (2),"CA3410010","CALAM - SUBURBAN","111768","PFOS"
"06","California","06067","Sacramento","2013-2015","31.0","","Detected" (2),"CA3410010","CALAM - SUBURBAN","111768","PFOA"
"06","California","06073","San Diego","2013-2015","28.0","","Detected" (2),"CA3710702","CAMP PENDLETON (SOUTH)","39400","PFOA"
"06","California","06077","San Joaquin","2013-2015","76.0","","Detected" (2),"CA3910015","CITY OF LATHROP","12427","PFOS"
"06","California","06077","San Joaquin","2013-2015","25.0","","Detected" (2),"CA3910015","CITY OF LATHROP","12427","PFOA"
"06","California","06079","San Luis Obispo","2013-2015","28.0","","Detected" (2),"CA4010002","ATASCADERO MUTUAL WATER CO","30332","PFOA"
"06","California","06107","Tulare","2013-2015","120.0","","Detected" (2),"CA5410016","CWS - VISALIA","135923","PFOS"
"08","Colorado","08041","El Paso","2013-2015","100.0","","Detected" (2),"CO0121275","FOUNTAIN CITY OF","20000","PFOS"
"08","Colorado","08041","El Paso","2013-2015","40.0","","Detected" (2),"CO0121275","FOUNTAIN CITY OF","20000","PFOA"
"08","Colorado","08041","El Paso","2013-2015","1,300.0","","Detected" (2),"CO0121775","SECURITY WSD","19000","PFOS"
